序號,管理委員會,建築物地址
113,三秀雅集公寓大廈,中壢區中園路
114,美麗歐洲公寓大廈管理委員會,中壢區中園路
115,戀戀歐洲社區管理委員會,中壢區中園路
116,冠世界社區管理委員會,中壢區中園路
117,友襌社區管理委員會,中壢區中園路
118,萬能及第大廈,中壢區中園路二段
119,亞洲商業大樓,中壢區中新街
120,格百鑫公寓大廈管理負責人,中壢區中榮里4鄰
121,懷石社區,中壢區中福里9鄰
122,官房雅築社區管理委員會,中壢區中豐北路一段
123,元化店舖辦公大樓管理負責人,中壢區中豐路
124,陽光花墅社區,中壢區中壢市內定里18鄰
125,雅舍小品管理負責人何麗卿,中壢區中壢市南園二路
126,華勛楓情社區管理委員會,中壢區中壢市華仁一街
127,SOGO帝寶社區管理負責人,中壢區中壢市華夏路
128,泛達大廈管理負責人,中壢區中壢市榮民南路
129,鴻福大街社區管理委員會,中壢區中壢市篤行里１鄰
130,典藏晶竹管理委員會,中壢區中壢市龍吉二街
131,雷氏公寓大廈管理負責人,中壢區中壢里5鄰
132,臻藝社區管理委員會,中壢區五族二街
133,順班社區管理負責人,中壢區五族三街
134,五族透店公寓大廈管理負責人,中壢區五族三街
135,涵美賞公寓大廈管理委員會,中壢區五華街
136,布拉格花園宮庭管理負責人,中壢區五興路
137,中大雅居管理負責人,中壢區五興路
138,合興居,中壢區五興路
139,天心園,中壢區五興路
140,碧瑤城堡社區,中壢區五權里上三座屋
141,典藏依莎社區管理委員會,中壢區仁和里10鄰
142,太陽村社區,中壢區仁和街
143,中壢我家住戶,中壢區仁美二街
144,中山京華社區管理委員會,中壢區仁美二街
145,現代21公寓大廈,中壢區仁美四街
146,凡賽斯社區,中壢區仁美里23鄰
147,瀧鑫悅社區管理委員會,中壢區仁美里9鄰
148,深耕二期甲區,中壢區仁愛里7鄰
149,深耕二期乙區管理負責人蔡美慧,中壢區仁愛里普忠路
150,一品中原社區,中壢區仁慈街
151,好彩頭社區,中壢區仁慈街
152,富甲尊爵管理委員會,中壢區仁福三街
153,湖映左岸公寓大廈管理委員會,中壢區仁福五街
154,天賜良緣社區,中壢區仁福五街
155,科學家社區,中壢區仁福四街
156,碁曜官邸社區,中壢區仁福里仁福二街
157,吉祥天廈,中壢區仁德一街
158,金品公寓大廈管理負責人李沛霖,中壢區仁德七街
159,臻第社區管理委員會,中壢區仁德五街
160,布查花園社區,中壢區仁德五街
161,幸福社區管理負責人,中壢區仁德里7鄰
162,大院采鑽管理委員會,中壢區元化路
163,美京大廈,中壢區元化路
164,龍傳家公寓大廈,中壢區元化路
165,將像公園大廈,中壢區元化路
166,帝王璇宮公寓大廈,中壢區元化路
167,摩登新貴,中壢區元化路
168,國際財星大樓,中壢區元化路
169,金府大廈,中壢區元化路
170,海華麗緻大廈管理委員會,中壢區元化路
171,福慧名人巷管理委員會,中壢區元化路
172,國家宮庭社區,中壢區元化路
173,亨享公寓大廈管理負責人,中壢區元化路
174,億林京都管理委員會,中壢區元化路
175,金爺名宮大廈管理委員會,中壢區元化路
176,金爺名宮BC棟大廈管理委員會,中壢區元化路
177,中壢新綜合市場店戶管理委員會,中壢區元化路
178,宜誠麗都社區,中壢區元生三街
179,宜誠麗都大樓社區管理委員會,中壢區元生三街
180,宜誠麗都透天社區管理委員會,中壢區元生三街
181,舞動陽光藍天社區,中壢區元生三街
182,甜蜜世界社區,中壢區內江街
183,領袖官邸管理負責人,中壢區內江街
184,黃宅社區管理負責人,中壢區內定九街
185,全久桃園新宿管理委員會,中壢區內定二街
186,淳境社區管理委員會,中壢區內定八街
187,綠波社區管理委員會,中壢區內定八街
188,萬能別莊社區,中壢區內定里10鄰
189,米拉貝爾社區管理委員會,中壢區內定里5鄰
190,文中花墅社區管理委員會,中壢區內定里內定二街
191,昀真ONE市達3管理委員會,中壢區內厝八路
192,陽光麗墅AB區管理委員會,中壢區內厝里10鄰
193,中大逸墅管理負責人 張挺貴,中壢區內厝里1鄰
194,忠孝精典大樓管理委員會,中壢區內壢忠孝路
195,順儷MIHO社區,中壢區公園路二段
196,海華帝國大廈管理委員會,中壢區六和路
197,宮廷樂章大廈,中壢區六和路
198,海華大帝社區管理委員會,中壢區六和路
199,陽光森活社區,中壢區文化二路
200,四季社區管理委員會,中壢區文化二路
201,飛揚特區社區,中壢區文化二路
202,宜誠鼎峰大樓管理委員會,中壢區文化二路
203,華園社區管理負責人 蔡清木,中壢區文化里15鄰
204,愛上杜拜管理委員會,中壢區文化里21鄰
205,向陽特區社區管理委員會,中壢區文化路
206,舞動陽光微風社區,中壢區文化路
207,遠邦透天華廈管理負責人,中壢區文化路
208,慶揚公寓大廈管理負責人,中壢區文昌路
209,城市之光社區管理委員會,中壢區文智路
210,康莊社區管理委員會,中壢區文智路
211,清涼第管理委員會,中壢區文智路
212,尊藏帝苑社區管理委員會,中壢區文智路
213,城市之鑽社區管理委員會,中壢區文興路
214,新貴社區管理委員會,中壢區文興路
215,青田星讚公寓大廈管理負責人,中壢區月眉
216,高鐵芳鄰管理委員會,中壢區月眉里10鄰
217,月眉山莊二區,中壢區月眉里12鄰
218,麒麟雲賞社區,中壢區月眉里2鄰
219,少爺別莊社區,中壢區月眉里3鄰
220,和風御墅管理委員會,中壢區月眉里8鄰
221,世紀翡翠社區,中壢區月眉路一段
222,福庄社區,中壢區月眉路二段
223,月眉山莊一區管理委員會,中壢區月眉路二段
224,彩色世界社區管理委員會,中壢區月眉路三段
225,松泉清境,中壢區水尾里26鄰
226,福鎮(二)社區,中壢區水尾里4鄰
227,水尾田園社區,中壢區水尾里
228,慶豐麗園住戶,中壢區王子五街
229,王子殿廈公寓大廈,中壢區王子街
230,大學湖畔社區管理委員會,中壢區功學社新村
231,功學社區,中壢區功學社新村
232,中原金城大廈,中壢區功學社新村
233,合勤居易社區管理委員會,中壢區功學社新村
234,僑欣拾富社區管理負責人,中壢區功學社新村
235,京鑽一區管理委員會,中壢區台貿二街
236,家那大社區第二期住戶管理委員會,中壢區台貿二街
237,弘揚華廈,中壢區弘揚路
238,宜誠高峰會社區,中壢區正大街
239,藏悅大廈管理委員會,中壢區正大路
240,尊邸公寓大廈-B區管理負責人,中壢區正光二街
241,龍騰御社區管理委員會,中壢區正光二街
242,尊邸公寓大廈－C區管理負責人,中壢區正光二街
243,尊邸公寓大廈-A區管理負責人,中壢區正光二街
244,大學誠社區管理委員會,中壢區正光二街
245,大悅社區住戶,中壢區正光街
246,富錦公寓大廈管理負責人,中壢區正光街
247,陳玉貴等三戶,中壢區正義里17鄰
248, 陳玉貴等三戶,中壢區正義里17鄰
249,麒麟至善園社區,中壢區正義里中山東路一段3
250,璞石一期社區管理委員會,中壢區正義路
251,仰涵觀止區管理委員會,中壢區正義路
252,典宇天下社區,中壢區民治二街
253,厚茂大廈管理負責人,中壢區民族路
254,向陽社區,中壢區民族路
255,廣興雅筑管理負責人,中壢區民族路二段
256,億客成公寓大廈管理負責人,中壢區民族路五段
257,名馳雋朗社區管理委員會,中壢區民族路五段
258,民權大樓,中壢區民權路
259,民權極景社區管理委員會,中壢區民權路
260,清境管理委員會,中壢區民權路三段
261,富貴社區管理委員會,中壢區民權路四段
262,民權大億管理負責人,中壢區民權路二段
263,友禪民權花園管理委員會,中壢區民權路三段
264,莊稼園別墅,中壢區民權路三段
265,三閤院管理委員會,中壢區民權路三段
266,市政美墅社區管理委員會,中壢區民權路三段
267,涵露社區管理委員會,中壢區民權路三段
268,國際高鐵捷運首席社區,中壢區民權路四段
269,黃肇政社區管理負責人,中壢區民權路四段
270,國際高鐵第五大道管理委員會,中壢區民權路四段
271,國際高鐵中央區管理委員會,中壢區民權路四段
272,國際會館社區管理委員會,中壢區民權路四段
273,布拉格青塘園社區,中壢區永平街
274,法國紅社區管理委員會,中壢區永光里11鄰
275,呂德森管理負責人,中壢區永安路
276,城市之星社區管理委員會,中壢區永泰路
277,宸宜進寶社區管理委員會,中壢區永泰路
278,布拉格春天管理負責人,中壢區永能路
279,永福帝堡管理委員會,中壢區永能路
280,躍世界社區管理委員會,中壢區永能路
281,築森社區管理委員會,中壢區永能路
282,維多利亞公寓大廈管理委員會,中壢區永能路
283,歌德堡社區管理委員會,中壢區永能路
284,彩頭市社區,中壢區永強街
285,福鎮(一)社區,中壢區永清街
286,海川蘊社區管理委員會,中壢區永清街
287,永發安居社區管理負責人謝寬忠,中壢區永發路
288,國際高鐵上品苑社區管理委員會,中壢區永順三街
289,崇光社區管理委員會,中壢區永嘉街
290,大學校園三期,中壢區永福路
291,綠堤社區,中壢區永福路
292,連都大地三期社區,中壢區永福路
293,青春物語,中壢區永福路
294,雅硯社區大樓,中壢區永福路
295,大學校園二期管理委員會,中壢區永福路
296,大學校園一期社區,中壢區永福路
297,永福大邸管理負責人,中壢區永福路
298,站前首璽大廈管理委員會,中壢區永樂路
299,東坡居管理委員會,中壢區甘肅三街
300,北帝國林森社區,中壢區生明街
301,白馬莊愛儷園公寓大廈,中壢區白馬莊
302,白馬皇族大廈,中壢區白馬莊
303,中華名門社區,中壢區立德街
304,民權經典社區管理委員會,中壢區光明里4鄰
305,翡翠園NO2公寓大廈,中壢區光明路二段
306,仰涵社區管理委員會,中壢區光明路二段
307,家賀屋社區管理委員會,中壢區光輝三街
308,杰運馥仕社區管理委員會,中壢區合圳北路二段
309,菁英會社區管理委員會,中壢區合圳北路二段
310,東興雅築公寓大廈管理委員會,中壢區合浦街
311,歐洲柏園,中壢區合浦街
312,吉利別墅社區管理負責人 簡永富,中壢區吉利二街
313,長堤領袖管理委員會,中壢區吉利十一街
314,摩登星鑽社區,中壢區吉林路
315,中壢工業區標準廠房管理委員會,中壢區吉林路
316,吉林公寓大廈管理負責人,中壢區吉林路
317,雙子星公寓大廈管理負責人,中壢區吉林路
318,凱薩皇宮管理委員會,中壢區吉長街
319,富麗前程第五期,中壢區同慶路
320,大學世家公寓大廈管理委員會,中壢區同慶路
321,錢櫃大樓,中壢區同慶路
322,松荷汽車旅館管理負責人,中壢區成功里7鄰
323,內壢新貴管理委員會,中壢區成功里8鄰
324,詠舜華城,中壢區成功里成章三街
325,鴻福大街社區,中壢區成章一街
326,永福社區管理負責人,中壢區成章一街
327,才順公寓管理負責人,中壢區成章一街
328,忠孝金鑽大廈,中壢區成章一街
329,成功社區,中壢區成章一街
330,采園京都管理負責人,中壢區成章二街
331,鍾愛一生社區,中壢區成章二街
332,藍天大地社區大廈,中壢區成章二街
333,康橋綠第社區管理委員會,中壢區成章二街
334,博市國宅社區,中壢區成章三街
335,京都四季社區管理委員會,中壢區成章三街
336,住定龍城,中壢區自立二街
337,自立社區管理委員會,中壢區自立五街
338,三秀雅仕,中壢區自立里13鄰
339,北帝國第二期社區,中壢區自忠街
340,富貴龍門大樓管理委員會,中壢區自忠街
341,薔薇廣場管理委員會,中壢區自忠街
342,香榭花園大廈,中壢區自忠街
343,萬源發皇家特區,中壢區自信里16鄰
344,居城市社區公寓大廈管理委員會,中壢區自強一路
345,亞爵麗緻社區,中壢區自強一路
346,藝樹賞公寓大廈,中壢區自強六路
347,雙璽管委會,中壢區至善里22鄰
348,寬庭美墅社區管理委員會,中壢區至善里35鄰
349,華登經典三期管理委員會,中壢區至善里35鄰
350,逸墅達人社區,中壢區至善里35鄰
351,誠泰觀邸社區,中壢區西園路
352,鴻福大地社區管理委員會,中壢區西園路
353,宜誠麗都領袖特區管理委員會,中壢區西園路
354,聯根大廈,中壢區西園路
355,名格門第,中壢區志成路
356,堂廈公寓管理負責人,中壢區志航街
357,中壢貴族世家,中壢區志航街
358,中原天廈管理委員會,中壢區協同街
359,典藏中原管理負責人何麗卿,中壢區協同街
360,布拉格管理負責人,中壢區和平街
361,幸福美墅管理委員會,中壢區幸福村
362,徐淑貞大樓管理負責人,中壢區幸福里25鄰
363,竑門天止社區管理委員會,中壢區幸福里30鄰
364,幸福庭園社區,中壢區幸福街
365,賢明華園大廈,中壢區延平路
366,龍田市中星,中壢區延平路
367,富貴天下,中壢區延平路
368,中壢勳章,中壢區延平路
369,巴黎之星,中壢區延平路
370,璟賢大樓,中壢區延平路
371,卓越廣場大樓,中壢區延平路
372,華邑新象社區管理委員會,中壢區延平路
373,統領天廈管理委員會,中壢區忠孝路
374,漢唐天下公寓大廈,中壢區忠孝路
375,宜誠麗都領袖特區,中壢區忠孝路
376,麗寶愛琴海社區,中壢區忠孝路
377,新生活藝術館,中壢區忠孝路
378,忠孝翡翠,中壢區忠孝路
379,忠孝翡翠社區,中壢區忠孝路
380,慶澤居社區管理委員會,中壢區忠福里26鄰
381,麗朵社區管理委員會,中壢區忠福里38鄰
382,海芋花墅,中壢區忠福里8鄰
383,徐州麗都管理負責人黃淑芬,中壢區明德里24鄰
384,青雲福邸公寓大廈管理負責人,中壢區明德里3鄰
385,明德大樓管理委員會,中壢區明德路
386,富春大廈管理負責人鄒富宏,中壢區明德路
387,杭州麗緻公寓大廈管理委員會,中壢區杭州路
388,東興園大樓,中壢區東興街
389,宸園管委會,中壢區松平二街
390,高誠湖悅一期B區管理委員會,中壢區松平二街
391,高誠湖悅一期A區管理委員會,中壢區松平路
392,真善美管理負責人,中壢區松平路
393,高誠湖悅二期管理委員會,中壢區松信二街
394,樸川逸境管理委員會,中壢區松信路
395,高誠森仰社區管理委員會,中壢區松勇一街
396,松月鳴琴二期社區管理委員會,中壢區松勤路
397,真澄管理委員會,中壢區松勤路
398,爵仕堡社區管理委員會,中壢區松義一街
399,家那大社區第五期住戶管理委員會,中壢區松義一街
400,大清璽福社區管理委員會,中壢區松義二街
401,家那大社區第六期住戶管理委員會,中壢區松義二街
402,吉祥墅管理委員會,中壢區松義三街
403,一八八社區管理負責人,中壢區松義三街
404,宜誠天匯2社區管理委員會,中壢區松義三街
405,好望角社區管理委員會,中壢區松德路
406,康莊社區管理委員會,中壢區松德路
407,中國龍社區管理委員會,中壢區林森路
408,林森大道,中壢區林森路
409,向陽大廈管理負責人 吳嘉晉,中壢區治平街
410,麗景社區,中壢區芝芭里1鄰
411,竹逸管理委員會,中壢區芝芭里1鄰
412,上茂家園管理負責人 張正宇,中壢區芝芭里1鄰
413,禾麥高鐵社區管理委員會,中壢區芝芭里2鄰
414,翡翠雙星大樓,中壢區金山一街
415,東興學園管理委員會,中壢區金山三街
416,美麗家園社區,中壢區金山街
417,太子世界二期A棟,中壢區金鋒五街
418,太子夏綠第社區,中壢區金鋒五街
419,太子假期管理委員會,中壢區金鋒四街
420,太子鳳凰城A座,中壢區金鋒四街
421,太子鳳凰城B座,中壢區金鋒四街
422,翰林龍門大廈,中壢區長沙路
423,清雲尊邸大廈管理負責人:鄭武雄,中壢區長沙路
424,中壢市長沙路第一家庭大廈管理委員會,中壢區長沙路
425,宜誠登峰社區管理委員會,中壢區長春三路
426,宜誠菁英行館社區管理委員會,中壢區長春五路
427,第一家庭社區管理委員會,中壢區長春路
428,典藏世家社區,中壢區長春路
429,國賓商業大樓,中壢區長春路
430,宏源社區管理負責人 張晉源,中壢區長春路
431,飛躍21A區公寓大廈,中壢區長春路
432,輝煌年代社區,中壢區長春路
433,陸江京華社區,中壢區長春路
434,涵韻社區管理委員會,中壢區長樂五街
435,卓別林社區,中壢區長樂四街
436,家美立體別墅,中壢區長樂四街
437,公園翡翠社區,中壢區長樂街
438,微笑城堡社區管理委員會,中壢區長興街
439,傳世國寶社區,中壢區長興街
440,和耀真諦社區管理委員會,中壢區長興街
441,青松社區管理負責人陳貴榮,中壢區青松街
442,青松別墅管理負責人呂千萬,中壢區青松街
443,傳家堡五福臨門管委會,中壢區青松街
444,高誠帝景管理委員會,中壢區青埔五街
445,健康別墅社區管理負責人,中壢區青埔六街
446,康橋新幹線社區管理委員會,中壢區青埔六街
447,新幹線三期社區管理委員會,中壢區青埔六街
448,新幹線二期社區管理委員會,中壢區青埔四街
449,青埔公寓大廈管理負責人,中壢區青埔四街
450,石上清泉社區,中壢區青埔里1鄰
451,育嘉京品B社區管理委員會,中壢區青埔里3鄰
452,青昕管理委員會,中壢區青埔里4鄰
453,新幹線社區,中壢區青埔里4鄰
454,闔家歡別墅管理負責人,中壢區青埔里5鄰
455,李園社區管理負責人,中壢區青埔里7鄰
456,照輝公寓大廈管理負責人,中壢區青埔里7鄰
457,照明公寓大廈管理負責人,中壢區青埔里7鄰
458,帝元家堡社區管理委員會,中壢區青埔里7鄰
459,世界CBD大廈管理委員會,中壢區青埔里青商路
460,國際高鐵新宿區管理委員會,中壢區青埔里高鐵站前東路二段
461,鋒橋淳光社區管理委員會,中壢區青埔路2段
462,國際高鐵富御居社區管理委員會,中壢區青峰路二段
463,新潤國品苑管理委員會,中壢區青商路
464,紐約線上管理委員會,中壢區青商路
465,城市首席社區管理委員會,中壢區青溪路二段
466,城市首席社區管理委員會,中壢區青溪路二段
467,京滬商城管理負責人,中壢區南京路
468,昆明首府NO.1管理負責人,中壢區南雄街
469,昆明首府NO.2管理負責人,中壢區南雄街
470,新都廷公寓大廈管理委員會,中壢區南園2路
471,宜誠鉑金苑社區管理委員會,中壢區南園二路
472,和瑞捷星社區管理委員會,中壢區南園二路
473,和瑞捷境社區管理委員會,中壢區南園二路
474,北帝國官邸社區,中壢區南園二路
475,王朝社區管理委員會,中壢區南園二路
476,尊邸公寓大廈,中壢區南園二路
477,太子國寶社區管理委員會,中壢區後寮一路
478,中壢美都,中壢區後寮一路
479,晶曜大樓管理委員會,中壢區後寮一路
480,富堉米蘭社區管理委員會,中壢區後寮一路
481,麗源優活21社區,中壢區後寮二路
482,麗寶SMART學苑,中壢區後寮二路
483,麗寶麗池管理委員會,中壢區後寮二路
484,麗寶麗池社區,中壢區後寮二路
485,東方瑞士社區,中壢區後寮里19鄰
486,生活智慧家社區,中壢區後興路一段
487,富貴？園管委會,中壢區後興路一段
488,鴻都大樓,中壢區後興路一段
489,富貴經典華廈管理委員會,中壢區後興路一段
490,元邦華府A區社區,中壢區後興路一段
491,環中傳家堡社區,中壢區後興路二段
492,楓丹美墅社區,中壢區後興路二段
493,至善美墅社區管理委員會,中壢區後興路二段
494,中壢新鑽大樓,中壢區後興路二段
495,新生活家,中壢區星文二街
496,昀真ONE市達社區管理委員會,中壢區洽溪子
497,國際高鐵淺草區管理委員會,中壢區洽溪里6鄰
498,國際高鐵比佛利(一)管理委員會,中壢區洽溪里7鄰
499,國際高鐵比佛利(二)管理委員會,中壢區洽溪里7鄰
500,永能居社區管理負責人,中壢區洽溪里7鄰
501,國際高鐵靜岡區管理委員會,中壢區洽溪里7鄰
502,錦宏家園管理負責人,中壢區洽溪里7鄰
503,輝煌大樓管理負責人王祥贊,中壢區洽溪路
504,國際高鐵企業總部管理委員會,中壢區洽溪路
505,深耕三期社區管理委員會,中壢區美華一路
506,國際高鐵新站特區管理委員會,中壢區致遠一路
507,綠藝心賞社區管理委員會,中壢區崁頂路
508,凱旋門公寓大廈管理委會員會,中壢區徐州街
509,薇閣崗石別墅社區,中壢區徐州街
510,徐州麗都管理負責人 黃淑芬,中壢區徐州街
511,領袖中原NO.2管理負責人,中壢區振興街
512,金華大學城管理委員會,中壢區振興街
513,金華大學城管理委員會,中壢區振興街
514,中原國寶公寓大廈,中壢區振興街
515,國王花園社區,中壢區晉元路
516,華中御墅社區,中壢區珠江街
517,玉麟大廈管理負責人,中壢區高鐵北路
518,高捷VILLA社區管理委員會,中壢區高鐵南路三段
519,日光苑公寓大廈管理委員會,中壢區高鐵南路二段
520,國際高鐵華爾街特區管理委員會,中壢區高鐵站前西路二段
521,國際高鐵晶站特區管理委員會,中壢區高鐵站前西路一段
522,佳瑞M+社區管理委員會,中壢區高鐵站前西路二段
523,馥楓高鐵精邸公寓大廈管理負責人,中壢區高鐵站前西路二段
524,聯邦商業銀行股份有限公司健行公寓大廈,中壢區健行里1鄰健行路
525,金華大樓管理負責人游賢金,中壢區健行路
526,盛世卿相管理委員會,中壢區健行路
527,清雲天下管理負責人,中壢區健行路
528,進華管理負責人,中壢區健行路
529,北帝國第五期社區,中壢區執信一街
530,鴻遠大廈管理負責人 徐鐵雄,中壢區執信一街
531,香榭名園管理委員會,中壢區執信二街
532,東方財經雙鑽管理委員會,中壢區康樂路
533,達昇皇鼎,中壢區強國路
534,鴻德儷園社區,中壢區強國路
535,愛森豪公寓大廈,中壢區清泉街
536,國源大樓管理負責人,中壢區莊敬里20鄰
537,精忠六村國宅社區,中壢區莊敬里精忠二街
538,校園芳鄰社區,中壢區莊敬路
539,莊敬192管理負責人,中壢區莊敬路
540,澤苑聖宅第五期管理委員會,中壢區莊敬路
541,內壢華廈住戶管理負責人,中壢區莊敬路
542,振翔富御社區管理委員會,中壢區莊敬路
543,水悅社區管理委員會,中壢區莊敬路
544,日陽觀2管理負責人,中壢區莊敬路
545,蜜之屋社區,中壢區莊敬路
546,陸光五村國宅社區管理委員會,中壢區陸光二街
547,豐湛社區管理委員會,中壢區陸光五街
548,大學市社區,中壢區富村街
549,大學社區公寓大廈,中壢區富村街
550,帝境三社區管理委員會,中壢區富村街
551,帝境三社區管理委員會,中壢區富村街
552,藍寶社區,中壢區富村街
553,慕夏社區管理委員會,中壢區富村街
554,拾富社區管理委員會,中壢區富村街
555,好機會社區,中壢區富村街
556,維多利亞公寓大廈管理委員會,中壢區富國街
557,國泰內壢香榭新象社區,中壢區富強西街
558,貴族新象,中壢區富裕街
559,馥園六期社區,中壢區復華七街
560,福利讚管理委員會,中壢區復華九街
561,第凡內花園大廈,中壢區復華九街
562,名人園邸,中壢區復華里19鄰
563,公園翡翠E管理負責人 黃惠芬,中壢區復華街
564,經典翡翠管理委員會,中壢區復華街
565,首馥社區管理負責人,中壢區復華街
566,藍天綠邑,中壢區復華街
567,復興恩典管理負責人,中壢區復華街
568,新上城社區管理委員會,中壢區復華路
569,馥園七期社區,中壢區復興里七鄰
570,永祥實業大樓,中壢區復興路
571,白宮財經大樓,中壢區復興路
572,遠曄商業廣場管理負責人,中壢區復興路
573,宜欣園,中壢區惠州街
574,嘟嘟學苑大廈管理負責人,中壢區普仁里11鄰
575,聯樟富貴社區管理委員會,中壢區普忠里17鄰
576,深耕社區,中壢區普忠路
577,普忠和館管理委員會,中壢區普忠路
578,陽光新第,中壢區普義里27鄰
579,典藏歐洲公寓大廈,中壢區普義路
580,中壢市大戶大貴,中壢區普義路
581,維納斯社區管理委員會,中壢區普義路
582,鏡泊湖社區,中壢區普慶里5鄰
583,華勛楓情社區管理委員會,中壢區華仁一街
584,加賀屋公寓大廈管理委員會,中壢區華安三路
585,春虹e吉邦社區,中壢區華美一路
